PASKIRTIS,TEISĖ,GYVENVIETĖ,ADRESAS,OBJEKTAS,ĮMKODAS,PAVADINIMAS
Kita,Nuosavybės teisė,Vilniaus m.,Kalvarijų g. 49  ,Neįrengta pastogė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Stepono Batoro g. 15A  ,Katilinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Garažų,Nuosavybės teisė,Vilniaus m.,Elektrinės g. 6A  ,Garažų patalpos,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Elektrinės g. 6A  ,Elektros skydinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
"Gamybos, pramonės",Nuosavybės teisė,Vilniaus m.,Liepkalnio g. 132A  ,Modulinė katilinė su vandens šildymo katilu,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
"Gamybos, pramonės",Nuosavybės teisė,Vilniaus m.,Keramikų g. 4A  ,Inžinerinis technologinis įrenginys - katilinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Elektrinės g. 2  ,Sargo pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Elektrinės g. 2  ,Svėrėjo pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
"Gamybos, pramonės",Nuosavybės teisė,Vilniaus m.,Elektrinės g. 2  ,Smulkintuvo pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
"Gamybos, pramonės",Nuosavybės teisė,Vilniaus m.,Elektrinės g. 2  ,Kuro priėmimo pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
"Gamybos, pramonės",Nuosavybės teisė,Vilniaus m.,Elektrinės g. 2  ,Elektrostatinio filtro statinys,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Jočionių g. 13  ,Turbininės alyvos priėmimo ir saugojimo pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,A. Kojelavičiaus g. 129  ,Katilinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
"Gamybos, pramonės",Nuosavybės teisė,Vilniaus m.,Pramonės g. 95  ,Katilinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Olandų g. 27  ,Siurblinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Administracinė,Nuosavybės teisė,Vilniaus m.,Smolensko g. 12  ,Administracinis pastatas su televizijos studijos patalpomis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Garažų,Nuosavybės teisė,Vilniaus m.,Smolensko g. 12  ,Garažas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Geležinkelio g. 17A  ,Siurblinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
